id,title,author,publisher,publication_year,category,isbn,quantity
288,Abel's Island,William Steig,Square Fish,1976    ,Information Technology,978-0312372453,5
289,Beginning programming for dummies,Wallace Wang,For Dummies,1996    ,Information Technology,978-0470617977,11
290,Hit Refresh,Satya Nadella,Harper Business,2017    ,Information Technology,978-0062652508,14
291,Only You Can Save Mankind,Terry Pratchett,HarperCollins,1992    ,Information Technology,978-0060738877,2
292,The Boys in the Band,Mart Crowley,Samuel French,1968    ,Information Technology,978-0573606137,8
293,Arduino for Dummies,John Nussey,For Dummies,2013    ,Information Technology,978-1119489542,1
294,The Eye of Minds,James Dashner,Delacorte Press,2013    ,Information Technology,978-0385741392,8
295,Algorithms of Oppression,Safiya Umoja Noble,NYU Press,2018    ,Information Technology,978-1479837243,8
296,Atala,François-René de Chateaubriand,Oxford University Press,1788    ,Information Technology,978-0199554379,15
297,Django for Beginners,William S. Vincent,WelcomeToCode,2018    ,Information Technology,978-1732344532,10
298,Fundamentals of Programming using Java,Edward Currie,Independent,2006    ,Information Technology,978-1549721649,19
299,Structured Computer Organization,Andrew S. Tanenbaum,Pearson,1975    ,Information Technology,978-0132916523,10
300,Computer Science Distilled,Wladston Ferreira Filho,Code Energy,2017    ,Information Technology,978-0997316025,4
301,The member of the wedding,Carson McCullers,Mariner Books,1946    ,Information Technology,978-0156586399,1
302,Laelius de amicitia,Cicero,Oxford University Press,1511    ,Information Technology,978-0198144762,17
303,Technology in action,Alan Evans,Pearson,2004    ,Information Technology,978-0134837871,20
304,System Collapse,Martha Wells,Tordotcom,2023    ,Information Technology,978-1250826978,10
305,Accelerate,Nicole Forsgren,IT Revolution Press,2018    ,Information Technology,978-1942788331,5
306,Macbeth,William Shakespeare,Simon & Schuster,1883    ,Information Technology,978-0743477109,16
307,Systems analysis and design,"Kendall, Kenneth E.",Pearson,1988    ,Information Technology,978-0134785554,3
308,Exit Strategy,Martha Wells,Tordotcom,2018    ,Information Technology,978-1250191854,19
309,Engineering design graphics,James H. Earle,Pearson,1969    ,Information Technology,978-0132333009,13
310,JavaScript for dummies,Emily A. Vander Veer,For Dummies,1996    ,Information Technology,978-0764506543,20
311,"It's the Great Pumpkin, Charlie Brown",Charles M. Schulz,Simon Spotlight,1967    ,Information Technology,978-1481431606,18
312,Artificial Intelligence Applications and Innovations,Lazaros S. Iliadis,Springer,2006    ,Information Technology,978-3642305733,11
313,Test-driven development,Kent Beck,Addison-Wesley,2002    ,Information Technology,978-0321146533,14
314,Hackers & painters,"Graham, Paul",O'Reilly Media,2004    ,Information Technology,978-0596006624,11
315,A new kind of science,Stephen Wolfram,Wolfram Media,2002    ,Information Technology,978-1579550080,4
316,Software project management,Bob Hughes,McGraw-Hill Education,1999    ,Information Technology,978-0077122799,20
317,WordPress For Dummies,Lisa Sabin-Wilson,For Dummies,2007    ,Information Technology,978-1119323143,9
318,Quantum computation and quantum information,Michael A. Nielsen,Cambridge University Press,2000    ,Information Technology,978-1107002173,14
319,Introduction to Java Programming,Y. Daniel Liang,Pearson,1999    ,Information Technology,978-0134670942,11
320,Courage to Change,Al-Anon Family Group Head Inc,Al-Anon Family Group,1992    ,Information Technology,978-0910034791,1
321,DOS for Dummies,Dan Gookin,For Dummies,1991    ,Information Technology,978-1878058256,6
322,Pro Git,Scott Chacon,Apress,2009    ,Information Technology,978-1484200773,15
323,Machinerys Handbook,Erik Oberg,Industrial Press,1959    ,Information Technology,978-0831130916,10
324,Statistics for People Who (Think They) Hate Statistics,Neil J. Salkind,SAGE Publications,2000    ,Information Technology,978-1506333830,18
325,"Data structures, algorithms, and software principles in C",Thomas A. Standish,Addison-Wesley,1995    ,Information Technology,978-0201512748,4
326,Concrete mathematics,Ronald L. Graham,Addison-Wesley,1988    ,Information Technology,978-0201558029,16
327,In Real Life,Cory Doctorow,First Second,2014    ,Information Technology,978-1596436589,4
328,Mastering today's software,Edward G. Martin,Boyd & Fraser,1992    ,Information Technology,978-0877096672,3
329,Electric circuits,James William Nilsson,Pearson,1983    ,Information Technology,978-0133760033,2
330,AAT NVQ,Association of Accounting Technicians,BPP Learning Media,1993    ,Information Technology,978-1445371689,18
331,Distributed Systems,Andrew S. Tanenbaum,Prentice Hall,2001    ,Information Technology,978-0132392273,8
332,The hacker playbook,Peter Kim,Secure Planet LLC,2014    ,Information Technology,978-1494932633,19
333,Freedom™,Daniel Suarez,Dutton,2010    ,Information Technology,978-0525951575,6
334,The Clockwise Man,Justin Richards,BBC Books,2003    ,Information Technology,978-0563486282,11
335,Dynamic HTML,Danny Goodman,O'Reilly Media,1998    ,Information Technology,978-0596003166,20
336,Hands on Hacking,Jennifer Arcuri,Wiley,2019    ,Information Technology,978-1119560265,16
337,Python Playground,Mahesh Venkitachalam,No Starch Press,2015    ,Information Technology,978-1593276041,20
338,Burn,James Patterson,"Little, Brown and Co",2014    ,Information Technology,978-0316211185,6
339,The X-Files,Kevin J. Anderson,Harper Entertainment,1995    ,Information Technology,978-0061050275,11
340,"American History, a Survey",Alan Brinkley,McGraw-Hill Education,1900    ,Information Technology,978-0073385495,12
341,Avatar,Gene Luen Yang,Dark Horse Books,2013    ,Information Technology,978-1506705514,7
342,Lohengrin,Richard Wagner,G. Schirmer,1800    ,Information Technology,978-0793521357,17
343,Expressways 3 Test Package,Steven J. Molinsky,Pearson,1986    ,Information Technology,978-0133880342,8
344,My Year of Meats,Ruth Ozeki,Penguin Books,1998    ,Information Technology,978-0140280463,18
345,C Programming Absolute Beginner's Guide,Greg Perry,Que Publishing,2013    ,Information Technology,978-0789751980,18
346,An introduction to data structures with applications,Jean-Paul Tremblay,McGraw-Hill,1976    ,Information Technology,978-0070651579,7
347,City of Ghosts,V. E. Schwab,Scholastic,2018    ,Information Technology,978-1338111040,11
348,Words that change minds,Shelle Rose Charvet,Success Strategies,1995    ,Information Technology,978-1928014522,10
349,NSCA's guide to program design,National Strength & Conditioning Association (U.S.),Human Kinetics,2012    ,Information Technology,978-0736084024,5
350,Software Quality Assurance,Nina S. Godbole,Alpha Science Intl Ltd,2004    ,Information Technology,978-1842651711,8
351,I Am America (And So Can You!),Stephen Colbert,Grand Central Publishing,2007    ,Information Technology,978-0446580502,20
352,Much Ado About Nothing,William Shakespeare,Simon & Schuster,1935    ,Information Technology,978-0743482752,16
353,C How to Program,Paul J. Deitel,Pearson,2007    ,Information Technology,978-0133976892,9
354,Zach's Lie,Roland Smith,Hyperion,1999    ,Information Technology,978-0786814404,9
355,C++ primer,Stanley B. Lippman,Addison-Wesley,1989    ,Information Technology,978-0321714114,5
356,Inside the Minds,Aspatore Books,Aspatore Books,2001    ,Information Technology,978-1587621062,19
357,Hacker's Delight,Henry S. Warren Jr.,Addison-Wesley,2002    ,Information Technology,978-0321842688,5
358,Glut,Alex Wright,Joseph Henry Press,2007    ,Information Technology,978-0309102384,17
359,Juliet takes a breath,Gabby Rivera,Dial Books,2016    ,Information Technology,978-0525553533,17
360,Coders at Work,Peter Seibel,Apress,2009    ,Information Technology,978-1430219484,9
361,Superfund,United States. General Accounting Office,GAO,1987    ,Information Technology,978-1243542557,15
362,Ready-Set-Learn,TEACHER CREATED RESOURCES,Teacher Created Resources,2007    ,Information Technology,978-1420657517,9
363,Java how to program--early objects,Paul J. Deitel,Pearson,2011    ,Information Technology,978-0134743356,3
364,Adult Children,aca wso,ACA WSO,2006    ,Information Technology,978-0978928704,5
365,Uncanny Valley,Anna Wiener,MCD,2020    ,Information Technology,978-0374278014,12
366,Everybody Lies,Seth Stephens-Davidowitz,Harper,2017    ,Information Technology,978-0062390851,9
367,The basics of hacking and penetration testing,Pat Engebretson,Syngress,2011    ,Information Technology,978-0124116443,5
368,Physics for Computer Science Students,Narciso Garcia,Springer,1986    ,Information Technology,978-0387949031,4
369,Data structures using C and C++,Yedidyah Langsam,Prentice Hall,2000    ,Information Technology,978-0130369970,15
370,A Charlie Brown Christmas,Lee Mendelson,It Books,1967    ,Information Technology,978-0062272379,13
371,Internet & World Wide Web,Harvey M. Deitel,Pearson,1999    ,Information Technology,978-0132151009,16
372,A basic course in American sign language,Tom Humphries,T J Publishers,1981    ,Information Technology,978-0932666420,5
373,Medicare,United States. General Accounting Office,GAO,1986    ,Information Technology,978-1243542540,6
374,How to prove it,Daniel J. Velleman,Cambridge University Press,1994    ,Information Technology,978-1108424141,16
375,The Definitive Guide to DAX,Marco Russo,Microsoft Press,2015    ,Information Technology,978-1509306978,7
376,Java how to program,Paul J. Deitel,Pearson,2005    ,Information Technology,978-0134743356,1
377,Building Microservices,Sam Newman,O'Reilly Media,2015    ,Information Technology,978-1492034025,20
378,Solutions Manual for Radar Systems Analysis and Design Using MATLAB,Bassem R. Mahafza,Chapman & Hall/CRC,2000    ,Information Technology,978-1584883494,17
379,Mandragola,Niccolò Machiavelli,Waveland Press,1554    ,Information Technology,978-0881333107,15
380,Applied Cryptography,Bruce Schneier,Wiley,1994    ,Information Technology,978-1119096726,6
381,The Entropy Effect,Vonda N. McIntyre,Pocket Books,1981    ,Information Technology,978-0671437299,7
382,Head First Python,Paul Barry,O'Reilly Media,2010    ,Information Technology,978-1491919538,16
383,Java How to Program,Harvey M. Deitel,Prentice Hall,1997    ,Information Technology,978-0130125071,7
384,‏די ברידער אַשכּנזי‎ / Di brider Ashkenazi,Israel Joshua Singer,Schocken,1936    ,Information Technology,978-0805206616,8
385,Introductory circuit analysis,Robert L. Boylestad,Pearson,1968    ,Information Technology,978-0133923605,12
386,Artificial Intelligence,Melanie Mitchell,"Farrar, Straus and Giroux",2019    ,Information Technology,978-0374253837,9
387,Data structures and algorithm analysis in C,Mark Allen Weiss,Pearson,1993    ,Information Technology,978-0132847377,5
388,The hacker playbook 2,Peter Kim,Secure Planet LLC,2015    ,Information Technology,978-1512221404,7
389,The inmates are running the asylum,"Cooper, Alan",Sams Publishing,1999    ,Information Technology,978-0672326141,1
390,I choose you!,Tracey West,Scholastic,1999    ,Information Technology,978-0545224352,9
391,Blogging for dummies,Susannah Gardner,For Dummies,2008    ,Information Technology,978-0470617717,15
392,Cult of the Dead Cow,Joseph Menn,PublicAffairs,2019    ,Information Technology,978-1541762381,3
393,The Legend of Korra,Michael Dante DiMartino,Dark Horse Books,2013    ,Information Technology,978-1616551681,19
394,"Agile Software Development, Principles, Patterns, and Practices",Robert C. Martin,Pearson,2002    ,Information Technology,978-0135974445,2
395,Messiah,George Frideric Handel,G. Schirmer,1750    ,Information Technology,978-0793504350,3
396,Numerical methods using MATLAB,John H. Mathews,Pearson,1999    ,Information Technology,978-0130652485,11
397,The self-taught programmer,Cory Althoff,Self-Taught Media,2017    ,Information Technology,978-0999605400,15
398,BTEC National for IT Practitioners,Sharon Yull,Routledge,2008    ,Information Technology,978-0750664271,4
399,Computer systems,Randal Bryant,Pearson,2002    ,Information Technology,978-0134092669,7
400,Erebos,Ursula Poznanski,Annick Press,2010    ,Information Technology,978-1554513727,16
401,The Making of Star Trek,Stephen E. Whitfield,Ballantine Books,1968    ,Information Technology,978-0345340115,3
402,Welfare reform,United States. General Accounting Office,GAO,1995    ,Information Technology,978-1243542533,1
403,Angels in America,Tony Kushner,Theatre Communications,1993    ,Information Technology,978-1559362313,5
404,Discrete and combinatorial mathematics,Ralph P. Grimaldi,Pearson,1985    ,Information Technology,978-0201726343,13
405,English for everyone,Gill Johnson,DK,2016    ,Information Technology,978-1465447623,11
406,Patterns of Enterprise Application Architecture,Martin Fowler,Addison-Wesley,2002    ,Information Technology,978-0321127426,3
407,Introduction to Linear Optimization,Dimitris Bertsimas,Athena Scientific,1997    ,Information Technology,978-1886529199,17
408,How to read a film,"Monaco, James.",Oxford University Press,1977    ,Information Technology,978-0195321050,1
409,Diggers,Terry Pratchett,HarperCollins,1990    ,Information Technology,978-0060013158,16
410,Free Pascal,Michaël van Canneyt,Lulu.com,2000    ,Information Technology,978-1409252436,9
411,Computer graphics,Steven Harrington,McGraw-Hill,1983    ,Information Technology,978-0070267534,9
412,You Don't Know JS,Kyle Simpson,O'Reilly Media,2014    ,Information Technology,978-1491904244,5
413,Teach yourself C++,Herbert Schildt,McGraw-Hill,1990    ,Information Technology,978-0078824760,18
414,Big Java,Cay S. Horstmann,Wiley,2001    ,Information Technology,978-1118430316,8
415,Site Reliability Engineering,Betsy Beyer,O'Reilly Media,2016    ,Information Technology,978-1491929124,14
416,Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon,Kim Zetter,Crown,2014    ,Information Technology,978-0770436193,17
417,Dataclysm,Christian Rudder,Crown,2014    ,Information Technology,978-0385347396,16
418,Introduction to machine learning,Ethem Alpaydin,MIT Press,2004    ,Information Technology,978-0262028189,10
